,Ticker,Tipo,SgmtNm,TckrSymb,Validade,Strike,TradQty
2704,BBAS3,AMER,EQUITY CALL,BBASG350,2020-07-20,35.06,112
2705,BBAS3,EURO,EQUITY CALL,BBASG353,2020-07-20,35.31,18
2706,BBAS3,AMER,EQUITY CALL,BBASG355,2020-07-20,35.56,58
2707,BBAS3,EURO,EQUITY CALL,BBASG358,2020-07-20,35.81,1132
2708,BBAS3,AMER,EQUITY CALL,BBASG360,2020-07-20,36.06,1196
2709,BBAS3,EURO,EQUITY CALL,BBASG363,2020-07-20,36.31,5
2710,BBAS3,AMER,EQUITY CALL,BBASG365,2020-07-20,36.56,56
2711,BBAS3,EURO,EQUITY CALL,BBASG368,2020-07-20,36.81,2
2712,BBAS3,AMER,EQUITY CALL,BBASG370,2020-07-20,37.06,81
2713,BBAS3,EURO,EQUITY CALL,BBASG373,2020-07-20,37.31,9
2714,BBAS3,AMER,EQUITY CALL,BBASG375,2020-07-20,37.56,44
2715,BBAS3,EURO,EQUITY CALL,BBASG378,2020-07-20,37.81,6
2716,BBAS3,AMER,EQUITY CALL,BBASG380,2020-07-20,38.06,234
2718,BBAS3,AMER,EQUITY CALL,BBASG385,2020-07-20,38.56,72
2720,BBAS3,AMER,EQUITY CALL,BBASG390,2020-07-20,39.06,37
2722,BBAS3,AMER,EQUITY CALL,BBASG397,2020-07-20,39.56,55
2723,BBAS3,EURO,EQUITY CALL,BBASG398,2020-07-20,39.81,3
2724,BBAS3,AMER,EQUITY CALL,BBASG400,2020-07-20,40.06,248
2726,BBAS3,AMER,EQUITY CALL,BBASG405,2020-07-20,40.56,1
2727,BBAS3,EURO,EQUITY CALL,BBASG408,2020-07-20,40.81,1
2728,BBAS3,EURO,EQUITY CALL,BBASG413,2020-07-20,41.31,71
2729,BBAS3,AMER,EQUITY CALL,BBASG422,2020-07-20,42.06,43
2730,BBAS3,EURO,EQUITY CALL,BBASG438,2020-07-20,43.81,4
2731,BBAS3,EURO,EQUITY CALL,BBASG458,2020-07-20,44.31,26
2732,BBAS3,AMER,EQUITY CALL,BBASG467,2020-07-20,46.56,9
2733,BBAS3,EURO,EQUITY CALL,BBASG468,2020-07-20,45.31,4
2734,BBAS3,AMER,EQUITY CALL,BBASG476,2020-07-20,46.06,4
2735,BBAS3,AMER,EQUITY CALL,BBASG48,2021-07-16,47.48,2
2740,BBAS3,AMER,EQUITY CALL,BBASG495,2020-07-20,49.56,1
2744,BBAS3,AMER,EQUITY CALL,BBASG52,2020-07-20,51.81,3
2748,BBAS3,AMER,EQUITY CALL,BBASG533,2020-07-20,52.81,6
2756,BBAS3,AMER,EQUITY CALL,BBASG58,2020-07-20,28.56,1
2760,BBAS3,AMER,EQUITY CALL,BBASG633,2020-07-20,61.81,13
2763,BBAS3,EURO,EQUITY CALL,BBASH250,2020-08-17,25.03,7
2766,BBAS3,EURO,EQUITY CALL,BBASH265,2020-08-17,26.53,1
2772,BBAS3,EURO,EQUITY CALL,BBASH285,2020-08-17,28.53,3
2780,BBAS3,AMER,EQUITY CALL,BBASH302,2020-08-17,30.28,2
2782,BBAS3,AMER,EQUITY CALL,BBASH307,2020-08-17,30.78,1
2783,BBAS3,EURO,EQUITY CALL,BBASH310,2020-08-17,31.03,4
2785,BBAS3,EURO,EQUITY CALL,BBASH315,2020-08-17,31.53,1
2786,BBAS3,AMER,EQUITY CALL,BBASH317,2020-08-17,31.78,4
2787,BBAS3,EURO,EQUITY CALL,BBASH320,2020-08-17,32.03,1
2788,BBAS3,AMER,EQUITY CALL,BBASH322,2020-08-17,32.28,24
2790,BBAS3,AMER,EQUITY CALL,BBASH327,2020-08-17,32.78,15
2791,BBAS3,EURO,EQUITY CALL,BBASH330,2020-08-17,33.03,4
2792,BBAS3,AMER,EQUITY CALL,BBASH332,2020-08-17,33.28,5
2793,BBAS3,EURO,EQUITY CALL,BBASH335,2020-08-17,33.53,1
2794,BBAS3,AMER,EQUITY CALL,BBASH337,2020-08-17,33.78,6
2795,BBAS3,EURO,EQUITY CALL,BBASH340,2020-08-17,34.03,3
2796,BBAS3,AMER,EQUITY CALL,BBASH342,2020-08-17,34.28,1
2798,BBAS3,AMER,EQUITY CALL,BBASH347,2020-08-17,34.78,7
2799,BBAS3,EURO,EQUITY CALL,BBASH350,2020-08-17,35.03,5
2800,BBAS3,AMER,EQUITY CALL,BBASH352,2020-08-17,35.28,2
2802,BBAS3,AMER,EQUITY CALL,BBASH357,2020-08-17,35.78,10
2803,BBAS3,EURO,EQUITY CALL,BBASH360,2020-08-17,36.03,1
2804,BBAS3,EURO,EQUITY CALL,BBASH365,2020-08-17,36.53,6
2806,BBAS3,AMER,EQUITY CALL,BBASH374,2020-08-17,36.28,7
2807,BBAS3,EURO,EQUITY CALL,BBASH375,2020-08-17,37.53,12
2808,BBAS3,EURO,EQUITY CALL,BBASH380,2020-08-17,38.03,2
2810,BBAS3,AMER,EQUITY CALL,BBASH384,2020-08-17,37.28,56
2818,BBAS3,AMER,EQUITY CALL,BBASH400,2020-08-17,36.78,14
2821,BBAS3,AMER,EQUITY CALL,BBASH418,2020-08-17,40.28,4
2822,BBAS3,AMER,EQUITY CALL,BBASH423,2020-08-17,40.78,3
2827,BBAS3,AMER,EQUITY CALL,BBASH450,2020-08-17,41.85,1
2828,BBAS3,EURO,EQUITY CALL,BBASH456,2020-08-17,45.6,7
2831,BBAS3,EURO,EQUITY CALL,BBASH481,2020-08-17,47.6,2
2836,BBAS3,AMER,EQUITY CALL,BBASH50,2020-08-17,46.85,2
2850,BBAS3,EURO,EQUITY CALL,BBASI245,2020-09-21,24.54,22
2872,BBAS3,AMER,EQUITY CALL,BBASI327,2020-09-21,32.79,1
2882,BBAS3,AMER,EQUITY CALL,BBASI350,2020-09-21,33.29,1
2886,BBAS3,EURO,EQUITY CALL,BBASI360,2020-09-21,36.04,3
2914,BBAS3,EURO,EQUITY CALL,BBASI501,2020-09-21,50.04,1
2933,BBAS3,EURO,EQUITY CALL,BBASJ331,2020-10-19,33.1,1
2955,BBAS3,EURO,EQUITY CALL,BBASL254,2020-12-21,25.45,1
2976,BBAS3,EURO,EQUITY CALL,BBASL329,2020-12-21,32.95,2
2989,BBAS3,EURO,EQUITY CALL,BBASL379,2020-12-21,37.95,1
2993,BBAS3,AMER,EQUITY CALL,BBASL43,2020-12-21,43.2,1
3022,BBAS3,EURO,EQUITY CALL,BBASL682,2020-12-21,67.7,1
3071,BBAS3,EURO,EQUITY PUT,BBASS1,2020-07-20,31.56,10
3072,BBAS3,EURO,EQUITY PUT,BBASS153,2020-07-20,15.31,13
3073,BBAS3,EURO,EQUITY PUT,BBASS203,2020-07-20,20.31,4
3074,BBAS3,EURO,EQUITY PUT,BBASS21,2020-07-20,21.06,1
3075,BBAS3,EURO,EQUITY PUT,BBASS22,2020-07-20,22.06,11
3077,BBAS3,EURO,EQUITY PUT,BBASS23,2020-07-20,23.06,1
