,RptDt,TckrSymb,ISIN,SgmtNm,MinPric,MaxPric,TradAvrgPric,LastPric,AdjstdQt,RefPric,TradQty,FinInstrmQty,Strike,Ticker,Validade,Tipo,Price
1680,6/29/2020,ABEVT10,BRABEV3T06O8,EQUITY PUT,"0,06","0,07","0,06","0,07",,"0,04",2,1100,10.08,ABEV3,8/17/2020,EURO,14.31
1682,6/29/2020,ABEVT12,BRABEV3T06W1,EQUITY PUT,"0,2","0,28","0,2","0,21",,"0,21",9,12600,12.08,ABEV3,8/17/2020,EURO,14.31
1683,6/29/2020,ABEVT13,BRABEV3T0709,EQUITY PUT,"0,41","0,54","0,46","0,42",,"0,43",19,35600,13.08,ABEV3,8/17/2020,EURO,14.31
1684,6/29/2020,ABEVT14,BRABEV3T06Y7,EQUITY PUT,"0,76","0,96","0,91","0,8",,"0,81",13,40800,14.08,ABEV3,8/17/2020,EURO,14.31
1700,6/29/2020,ABEVT42,BRABEV3T06T7,EQUITY PUT,"0,28","0,37","0,32","0,29",,"0,3",5,21700,12.58,ABEV3,8/17/2020,EURO,14.31
1701,6/29/2020,ABEVT43,BRABEV3T06U5,EQUITY PUT,"0,57","0,74","0,59","0,59",,"0,6",9,50700,13.58,ABEV3,8/17/2020,EURO,14.31
1702,6/29/2020,ABEVT44,BRABEV3T06M2,EQUITY PUT,"1,02","1,03","1,02","1,03",,"1,07",3,2000,14.58,ABEV3,8/17/2020,EURO,14.31
1715,6/29/2020,ABEVU135,BRABEV3U06Q1,EQUITY PUT,"0,83","0,83","0,83","0,83",,"0,81",1,1000,13.58,ABEV3,9/21/2020,EURO,14.31
1716,6/29/2020,ABEVU140,BRABEV3U06R9,EQUITY PUT,"1,02","1,02","1,02","1,02",,"1,03",1,1000,14.08,ABEV3,9/21/2020,EURO,14.31
1866,6/29/2020,AZULG1,BRAZUL4G00M4,EQUITY CALL,"0,2","0,48","0,34","0,36",,"0,33",107,91800,28.5,AZUL4,7/20/2020,AMER,0
1867,6/29/2020,AZULG2,BRAZUL4G00N2,EQUITY CALL,"0,15","0,29","0,19","0,27",,"0,16",25,24300,34.5,AZUL4,7/20/2020,AMER,0
1868,6/29/2020,AZULG215,BRAZUL4G00O0,EQUITY CALL,"1,2","1,5","1,3","1,5",,"1,25",5,2900,21.5,AZUL4,7/20/2020,AMER,0
1869,6/29/2020,AZULG220,BRAZUL4G00P7,EQUITY CALL,"1,14","1,19","1,14","1,19",,"1,08",3,14600,22,AZUL4,7/20/2020,AMER,0
1870,6/29/2020,AZULG3,BRAZUL4G00K8,EQUITY CALL,"0,11","0,15","0,12","0,12",,"0,05",19,6900,40.5,AZUL4,7/20/2020,AMER,0
1874,6/29/2020,AZULG52,BRAZUL4G00J0,EQUITY CALL,"0,95","1,38","1,22","1,29",,"0,93",72,99600,22.5,AZUL4,7/20/2020,AMER,0
1875,6/29/2020,AZULG525,BRAZUL4G00G6,EQUITY CALL,"0,1","0,12","0,1","0,1",,"0,01",4,100500,52.5,AZUL4,7/20/2020,EURO,0
1877,6/29/2020,AZULG645,BRAZUL4G00E1,EQUITY CALL,"0,05","0,06","0,05","0,05",,"0,01",10,5200,64.5,AZUL4,7/20/2020,EURO,0
