,RptDt,TckrSymb,ISIN,SgmtNm,MinPric,MaxPric,TradAvrgPric,LastPric,AdjstdQt,RefPric,TradQty,FinInstrmQty,Strike,Ticker,Validade,Tipo,Price
1718,2020-07-09,ABEVT44,BRABEV3T06M2,EQUITY PUT,"0,68","0,74","0,7","0,71",,"0,74",35,26100,14.58,ABEV3,2020-08-17,EURO,14.81
1727,2020-07-09,ABEVU115,BRABEV3U0706,EQUITY PUT,"0,22","0,22","0,22","0,22",,"0,13",1,16000,11.58,ABEV3,2020-09-21,EURO,14.81
1730,2020-07-09,ABEVU130,BRABEV3U06V1,EQUITY PUT,"0,35","0,35","0,35","0,35",,"0,38",1,16000,13.08,ABEV3,2020-09-21,EURO,14.81
1732,2020-07-09,ABEVU140,BRABEV3U06R9,EQUITY PUT,"0,75","0,75","0,75","0,75",,"0,71",1,300,14.08,ABEV3,2020-09-21,EURO,14.81
1892,2020-07-09,AZULG1,BRAZUL4G00M4,EQUITY CALL,"0,05","0,08","0,06","0,06",,"0,03",56,137600,28.5,AZUL4,2020-07-20,AMER,0.0
1893,2020-07-09,AZULG2,BRAZUL4G00N2,EQUITY CALL,"0,01","0,04","0,02","0,02",,"0,01",27,66100,34.5,AZUL4,2020-07-20,AMER,0.0
1894,2020-07-09,AZULG215,BRAZUL4G00O0,EQUITY CALL,"0,85","1,32","1,04","0,9",,"0,54",13,2300,21.5,AZUL4,2020-07-20,AMER,0.0
1895,2020-07-09,AZULG220,BRAZUL4G00P7,EQUITY CALL,"0,7","0,89","0,73","0,7",,"0,39",6,3600,22.0,AZUL4,2020-07-20,AMER,0.0
1896,2020-07-09,AZULG3,BRAZUL4G00K8,EQUITY CALL,"0,01","0,02","0,01","0,01",,"0,01",27,258800,40.5,AZUL4,2020-07-20,AMER,0.0
1897,2020-07-09,AZULG4,BRAZUL4G00L6,EQUITY CALL,"0,01","0,01","0,01","0,01",,"0,01",6,4000,46.5,AZUL4,2020-07-20,AMER,0.0
1899,2020-07-09,AZULG46,BRAZUL4G00I2,EQUITY CALL,"4,5",5,"4,64","4,7",,"4,49",10,2100,16.5,AZUL4,2020-07-20,AMER,0.0
1900,2020-07-09,AZULG52,BRAZUL4G00J0,EQUITY CALL,"0,5","0,8","0,57","0,66",,"0,28",78,76700,22.5,AZUL4,2020-07-20,AMER,0.0
1901,2020-07-09,AZULG525,BRAZUL4G00G6,EQUITY CALL,"0,01","0,01","0,01","0,01",,"0,01",2,3000,52.5,AZUL4,2020-07-20,EURO,0.0
1903,2020-07-09,AZULG645,BRAZUL4G00E1,EQUITY CALL,"0,01","0,01","0,01","0,01",,"0,01",3,11600,64.5,AZUL4,2020-07-20,EURO,0.0
1909,2020-07-09,AZULH220,BRAZUL4H0187,EQUITY CALL,"1,7","1,9","1,74","1,76",,"1,07",9,2700,22.0,AZUL4,2020-08-17,AMER,0.0
1910,2020-07-09,AZULH230,BRAZUL4H01B3,EQUITY CALL,"1,35","1,64","1,47","1,42",,"0,79",34,34200,23.0,AZUL4,2020-08-17,AMER,0.0
1911,2020-07-09,AZULH242,BRAZUL4H0179,EQUITY CALL,"1,17","1,17","1,17","1,17",,"0,56",1,1000,24.25,AZUL4,2020-08-17,EURO,0.0
1913,2020-07-09,AZULH265,BRAZUL4H0195,EQUITY CALL,"0,7","0,75","0,72","0,7",,"0,37",6,1600,26.5,AZUL4,2020-08-17,AMER,0.0
1916,2020-07-09,AZULH297,BRAZUL4H01C1,EQUITY CALL,"0,25","0,39","0,34","0,25",,"0,26",7,1200,29.75,AZUL4,2020-08-17,EURO,0.0
1950,2020-07-09,AZULK235,BRAZUL4K00W5,EQUITY CALL,3,3,3,3,,"1,73",1,11700,23.5,AZUL4,2020-11-16,AMER,0.0
1964,2020-07-09,AZULS215,BRAZUL4S00O5,EQUITY PUT,"1,3","1,6","1,31","1,6",,"1,12",4,10700,21.5,AZUL4,2020-07-20,EURO,0.0
1968,2020-07-09,AZULS40,BRAZUL4S00H9,EQUITY PUT,"0,02","0,04","0,03","0,03",,"0,01",6,3400,10.5,AZUL4,2020-07-20,EURO,0.0
1969,2020-07-09,AZULS46,BRAZUL4S00I7,EQUITY PUT,"0,11","0,18","0,14","0,18",,"0,08",10,10500,16.5,AZUL4,2020-07-20,EURO,0.0
1970,2020-07-09,AZULS52,BRAZUL4S00J5,EQUITY PUT,"2,39","2,39","2,39","2,39",,"1,87",1,100,22.5,AZUL4,2020-07-20,EURO,0.0
1976,2020-07-09,AZULT152,BRAZUL4T0134,EQUITY PUT,"0,25","0,3","0,29","0,29",,"0,23",11,1900,15.25,AZUL4,2020-08-17,EURO,0.0
1978,2020-07-09,AZULT197,BRAZUL4T0183,EQUITY PUT,"1,1","1,5","1,17","1,38",,"0,95",17,13200,19.75,AZUL4,2020-08-17,EURO,0.0
1987,2020-07-09,AZULT950,BRAZUL4T0100,EQUITY PUT,"0,16","0,16","0,16","0,16",,"0,01",1,200,9.5,AZUL4,2020-08-17,EURO,0.0
2014,2020-07-09,AZULW190,BRAZUL4W00O7,EQUITY PUT,"2,3","2,3","2,3","2,3",,"1,54",1,11700,19.0,AZUL4,2020-11-16,EURO,0.0
2015,2020-07-09,AZULW195,BRAZUL4W00V2,EQUITY PUT,"2,5","2,5","2,5","2,5",,"1,75",1,46000,19.5,AZUL4,2020-11-16,EURO,0.0
2017,2020-07-09,AZULW215,BRAZUL4W00S8,EQUITY PUT,"2,5","2,5","2,5","2,5",,"2,81",1,46000,21.5,AZUL4,2020-11-16,EURO,0.0
2038,2020-07-09,B3SAG14,BRB3SA3G03E5,EQUITY CALL,"16,1","16,1","16,1","16,1",,"14,48",1,1300,44.44,B3SA3,2020-07-20,AMER,59.08
2039,2020-07-09,B3SAG15,BRB3SA3G0386,EQUITY CALL,"13,52","13,54","13,53","13,52",,"13,48",2,1130000,45.44,B3SA3,2020-07-20,AMER,59.08
2041,2020-07-09,B3SAG17,BRB3SA3G03H8,EQUITY CALL,12,12,12,12,,"11,5",1,400,47.44,B3SA3,2020-07-20,AMER,59.08
2051,2020-07-09,B3SAG333,BRB3SA3G03U1,EQUITY CALL,"26,49","26,49","26,49","26,49",,"25,72",1,500,33.19,B3SA3,2020-07-20,EURO,59.08
2076,2020-07-09,B3SAG469,BRB3SA3G02L2,EQUITY CALL,"13,4","13,4","13,4","13,4",,"12,74",1,2000,46.19,B3SA3,2020-07-20,EURO,59.08
2078,2020-07-09,B3SAG48,BRB3SA3G02R9,EQUITY CALL,"11,22","11,26","11,23","11,26",,"11,01",4,807200,47.94,B3SA3,2020-07-20,AMER,59.08
2080,2020-07-09,B3SAG490,BRB3SA3G03Q9,EQUITY CALL,"11,6","11,7","11,65","11,7",,"10,04",2,2000,48.94,B3SA3,2020-07-20,AMER,59.08
2081,2020-07-09,B3SAG495,BRB3SA3G03X5,EQUITY CALL,"9,5","10,9","10,22","9,5",,"9,56",9,2400,49.44,B3SA3,2020-07-20,AMER,59.08
2084,2020-07-09,B3SAG510,BRB3SA3G0402,EQUITY CALL,"9,15","9,15","9,15","9,15",,"8,13",1,700,50.94,B3SA3,2020-07-20,AMER,59.08
2085,2020-07-09,B3SAG511,BRB3SA3G02O6,EQUITY CALL,"9,25","10,22","9,87","9,25",,"8,6",3,5700,50.44,B3SA3,2020-07-20,EURO,59.08
