RptDt,TckrSymb,ISIN,SgmtNm,MinPric,MaxPric,TradAvrgPric,LastPric,AdjstdQt,RefPric,TradQty,FinInstrmQty,Strike,Ticker,Validade,Tipo,Price
2020-07-23,ABEVU145,BRABEV3U06U3,EQUITY PUT,"0,98","1,06",1,"1,06",,"1,07",6,37200,14.58,ABEV3,2020-09-21,EURO,0.0
2020-07-23,ABEVU150,BRABEV3U06X7,EQUITY PUT,"1,23","1,33","1,26","1,32",,"1,36",13,177500,15.08,ABEV3,2020-09-21,EURO,0.0
2020-07-23,ABEVV130,BRABEV3V06K2,EQUITY PUT,"0,51","0,51","0,51","0,51",,"0,56",1,100,13.08,ABEV3,2020-10-19,EURO,0.0
2020-07-23,ABEVV135,BRABEV3V06J4,EQUITY PUT,"0,69","0,69","0,69","0,69",,"0,73",1,100,13.58,ABEV3,2020-10-19,EURO,0.0
2020-07-23,ABEVV140,BRABEV3V06F2,EQUITY PUT,"0,88","0,88","0,88","0,88",,"0,94",2,1000,14.08,ABEV3,2020-10-19,EURO,0.0
2020-07-23,ABEVV150,BRABEV3V06A3,EQUITY PUT,"1,44","1,44","1,44","1,44",,"1,47",1,1000,15.08,ABEV3,2020-10-19,EURO,0.0
2020-07-23,AZULH197,BRAZUL4H0146,EQUITY CALL,"2,1","2,7","2,46","2,1",,"1,63",9,19700,19.75,AZUL4,2020-08-17,EURO,0.0
2020-07-23,AZULH220,BRAZUL4H0187,EQUITY CALL,1,"1,52","1,22",1,,"0,46",47,25900,22.0,AZUL4,2020-08-17,AMER,0.0
2020-07-23,AZULH230,BRAZUL4H01B3,EQUITY CALL,"0,68","1,3","0,88","0,91",,"0,26",76,108600,23.0,AZUL4,2020-08-17,AMER,0.0
2020-07-23,AZULH242,BRAZUL4H0179,EQUITY CALL,"0,6","0,8","0,72","0,67",,"0,17",43,20600,24.25,AZUL4,2020-08-17,EURO,0.0
2020-07-23,AZULH250,BRAZUL4H01D9,EQUITY CALL,"0,4","0,71","0,51","0,53",,"0,14",18,9600,25.0,AZUL4,2020-08-17,AMER,0.0
2020-07-23,AZULH265,BRAZUL4H0195,EQUITY CALL,"0,4","0,4","0,4","0,4",,"0,1",2,1600,26.5,AZUL4,2020-08-17,AMER,0.0
2020-07-23,AZULH267,BRAZUL4H01A5,EQUITY CALL,"0,25","0,3","0,27","0,25",,"0,09",5,3200,26.75,AZUL4,2020-08-17,EURO,0.0
2020-07-23,AZULH287,BRAZUL4H0153,EQUITY CALL,"0,24","0,24","0,24","0,24",,"0,04",1,1000,28.75,AZUL4,2020-08-17,EURO,0.0
2020-07-23,AZULH297,BRAZUL4H01C1,EQUITY CALL,"0,16","0,2","0,16","0,16",,"0,03",55,63200,29.75,AZUL4,2020-08-17,EURO,0.0
2020-07-23,AZULI240,BRAZUL4I0186,EQUITY CALL,"1,6","1,65","1,61","1,63",,"0,52",4,3300,24.0,AZUL4,2020-09-21,AMER,0.0
2020-07-23,AZULI270,BRAZUL4I0137,EQUITY CALL,"0,99","0,99","0,99","0,99",,"0,3",4,4200,27.0,AZUL4,2020-09-21,AMER,0.0
2020-07-23,AZULI302,BRAZUL4I00Z2,EQUITY CALL,"0,35","0,39","0,37","0,39",,"0,21",13,1300,30.25,AZUL4,2020-09-21,EURO,0.0
2020-07-23,AZULT152,BRAZUL4T0134,EQUITY PUT,"0,13","0,16","0,15","0,13",,"0,04",5,15000,15.25,AZUL4,2020-08-17,EURO,0.0
2020-07-23,AZULT197,BRAZUL4T0183,EQUITY PUT,"0,75",1,"0,84","0,98",,"0,4",12,18100,19.75,AZUL4,2020-08-17,EURO,0.0
2020-07-23,AZULT220,BRAZUL4T0167,EQUITY PUT,2,"2,52","2,11","2,4",,"1,48",6,2900,22.0,AZUL4,2020-08-17,EURO,0.0
2020-07-23,AZULT950,BRAZUL4T0100,EQUITY PUT,"0,02","0,05","0,04","0,02",,"0,01",2,6000,9.5,AZUL4,2020-08-17,EURO,0.0
2020-07-23,AZULU177,BRAZUL4U01A8,EQUITY PUT,"0,8","0,9","0,85","0,9",,"0,38",3,300,17.75,AZUL4,2020-09-21,EURO,0.0
2020-07-23,AZULU190,BRAZUL4U0198,EQUITY PUT,"1,3","1,3","1,3","1,3",,"0,61",2,1500,19.0,AZUL4,2020-09-21,EURO,0.0
