Asst,OptnTp,TradgEndDt,TckrSymb,OptnStyle,ExrcPric,,9/21/2020,8/17/2020,7/20/2020,Asst,Cotação,7/20/2020,8/17/2020,9/21/2020,
ABEV3,Call,7/16/2021,ABEVG205,AMER,20.5,,,,,TAEE11,,,,,
ABEV3,Call,12/17/2021,ABEVL222,EURO,22.25,,,,,TCSA3,,,,,
ABEV3,Call,5/20/2022,ABEVE121,AMER,12,,,,,TEND3,,,,,
ABEV3,Put,7/20/2020,ABEVS10,EURO,10.08,,,,,TIET11,,,,,
ABEV3,Put,7/20/2020,ABEVS11,EURO,11.08,,,,,TIMP3,,,,,
ABEV3,Put,7/20/2020,ABEVS120,EURO,12.08,,,,,TOTS3,,,,,
ABEV3,Put,7/20/2020,ABEVS130,EURO,13.08,,,,,TRPL4,,,,,
ABEV3,Put,7/20/2020,ABEVS14,EURO,14.08,,,,,TUPY3,,,,,
ABEV3,Put,7/20/2020,ABEVS150,EURO,15.08,,,,,UGPA3,,,,,
ABEV3,Put,7/20/2020,ABEVS158,EURO,15.83,,,,,USIM5,,,,,
ABEV3,Put,7/20/2020,ABEVS16,EURO,16.08,,,,,VALE3,,,,,
ABEV3,Put,7/20/2020,ABEVS160,EURO,15.58,,,,,VIVA3,,,,,
ABEV3,Put,7/20/2020,ABEVS17,EURO,16.58,,,,,VIVT4,,,,,
ABEV3,Put,7/20/2020,ABEVS192,EURO,18.83,,,,,VLID3,,,,,
ABEV3,Put,7/20/2020,ABEVS20,EURO,19.58,,,,,VVAR3,,,,,
ABEV3,Put,7/20/2020,ABEVS212,EURO,20.83,,,,,WEGE3,,,,,
ABEV3,Put,7/20/2020,ABEVS220,EURO,21.58,,,,,WIZS3,,,,,
ABEV3,Put,7/20/2020,ABEVS230,EURO,22.58,,,,,XBOV11,,,,,
ABEV3,Put,7/20/2020,ABEVS240,EURO,23.58,,,,,YDUQ3,,,,,
ABEV3,Put,7/20/2020,ABEVS245,EURO,24.08,,,,,,,,,,
ABEV3,Put,7/20/2020,ABEVS40,EURO,10.58,,,,,,,,,,
ABEV3,Put,7/20/2020,ABEVS41,EURO,11.58,,,,,,,,,,
ABEV3,Put,7/20/2020,ABEVS42,EURO,12.58,,,,,,,,,,
ABEV3,Put,7/20/2020,ABEVS43,EURO,13.58,,,,,,,,,,
ABEV3,Put,7/20/2020,ABEVS44,EURO,14.58,,,,,,,,,,
ABEV3,Put,7/20/2020,ABEVS49,EURO,19.08,,,,,,,,,,
ABEV3,Put,7/20/2020,ABEVS933,EURO,9.33,,,,,,,,,,
ABEV3,Put,7/20/2020,ABEVS943,EURO,9.43,,,,,,,,,,
ABEV3,Put,7/20/2020,ABEVS96,EURO,9.73,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT10,EURO,10.08,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT11,EURO,11.08,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT12,EURO,12.08,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT13,EURO,13.08,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT14,EURO,14.08,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT15,EURO,15.08,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT158,EURO,15.83,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT16,EURO,16.08,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT178,EURO,16.83,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT183,EURO,17.83,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT185,EURO,18.08,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT187,EURO,18.33,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT193,EURO,18.83,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT205,EURO,20.08,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT212,EURO,20.83,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT222,EURO,21.83,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT232,EURO,22.83,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT30,EURO,30.08,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT40,EURO,10.58,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT41,EURO,11.58,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT42,EURO,12.58,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT43,EURO,13.58,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT44,EURO,14.58,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT45,EURO,15.58,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT46,EURO,16.58,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT92,EURO,9.33,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT94,EURO,9.53,,,,,,,,,,
ABEV3,Put,8/17/2020,ABEVT96,EURO,9.73,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU100,EURO,10.08,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU105,EURO,10.58,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU110,EURO,11.08,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU115,EURO,11.58,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU120,EURO,12.08,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU125,EURO,12.58,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU130,EURO,13.08,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU135,EURO,13.58,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU140,EURO,14.08,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU145,EURO,14.58,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU150,EURO,15.08,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU155,EURO,15.58,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU160,EURO,16.08,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU165,EURO,16.58,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU167,EURO,16.33,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU168,EURO,16.83,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU170,EURO,17.08,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU175,EURO,17.58,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU185,EURO,18.58,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU187,EURO,18.33,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU203,EURO,20.33,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU212,EURO,20.83,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU215,EURO,21.58,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU963,EURO,9.63,,,,,,,,,,
ABEV3,Put,9/21/2020,ABEVU973,EURO,9.73,,,,,,,,,,
ABEV3,Put,10/19/2020,ABEVV150,EURO,15.08,,,,,,,,,,
ABEV3,Put,10/19/2020,ABEVV168,EURO,16.83,,,,,,,,,,
ABEV3,Put,10/19/2020,ABEVV17,EURO,17.08,,,,,,,,,,
ABEV3,Put,10/19/2020,ABEVV170,EURO,16.58,,,,,,,,,,
ABEV3,Put,10/19/2020,ABEVV173,EURO,17.33,,,,,,,,,,
ABEV3,Put,10/19/2020,ABEVV188,EURO,18.83,,,,,,,,,,
ABEV3,Put,10/19/2020,ABEVV190,EURO,18.58,,,,,,,,,,
ABEV3,Put,10/19/2020,ABEVV198,EURO,19.08,,,,,,,,,,
ABEV3,Put,10/19/2020,ABEVV203,EURO,20.33,,,,,,,,,,
ABEV3,Put,10/19/2020,ABEVV210,EURO,21.08,,,,,,,,,,
ABEV3,Put,10/19/2020,ABEVV212,EURO,20.83,,,,,,,,,,
ABEV3,Put,10/19/2020,ABEVV213,EURO,21.33,,,,,,,,,,
ABEV3,Put,10/19/2020,ABEVV215,EURO,21.58,,,,,,,,,,
ABEV3,Put,10/19/2020,ABEVV218,EURO,21.83,,,,,,,,,,
ABEV3,Put,11/16/2020,ABEVW168,EURO,16.83,,,,,,,,,,
ABEV3,Put,11/16/2020,ABEVW17,EURO,17.08,,,,,,,,,,
ABEV3,Put,11/16/2020,ABEVW170,EURO,16.58,,,,,,,,,,
ABEV3,Put,11/16/2020,ABEVW188,EURO,18.83,,,,,,,,,,
ABEV3,Put,11/16/2020,ABEVW190,EURO,18.58,,,,,,,,,,
ABEV3,Put,11/16/2020,ABEVW215,EURO,21.08,,,,,,,,,,
ABEV3,Put,11/16/2020,ABEVW216,EURO,21.58,,,,,,,,,,
ABEV3,Put,11/16/2020,ABEVW217,EURO,21.33,,,,,,,,,,
ABEV3,Put,11/16/2020,ABEVW218,EURO,21.83,,,,,,,,,,
ABEV3,Put,11/16/2020,ABEVW220,EURO,22.08,,,,,,,,,,
ABEV3,Put,12/21/2020,ABEVX140,EURO,14.08,,,,,,,,,,
ABEV3,Put,12/21/2020,ABEVX145,EURO,14.58,,,,,,,,,,
ABEV3,Put,12/21/2020,ABEVX163,EURO,16.33,,,,,,,,,,
ABEV3,Put,12/21/2020,ABEVX168,EURO,16.83,,,,,,,,,,
ABEV3,Put,12/21/2020,ABEVX17,EURO,17.08,,,,,,,,,,
ABEV3,Put,12/21/2020,ABEVX170,EURO,16.58,,,,,,,,,,
ABEV3,Put,12/21/2020,ABEVX188,EURO,18.83,,,,,,,,,,
ABEV3,Put,12/21/2020,ABEVX190,EURO,18.58,,,,,,,,,,
ABEV3,Put,12/21/2020,ABEVX210,EURO,21.08,,,,,,,,,,
ABEV3,Put,12/21/2020,ABEVX217,EURO,21.33,,,,,,,,,,
ABEV3,Put,12/21/2020,ABEVX218,EURO,21.83,,,,,,,,,,
ABEV3,Put,12/21/2020,ABEVX220,EURO,21.58,,,,,,,,,,
ABEV3,Put,12/21/2020,ABEVX223,EURO,22.33,,,,,,,,,,
ABEV3,Put,12/21/2020,ABEVX228,EURO,22.08,,,,,,,,,,
ABEV3,Put,4/19/2021,ABEVP150,EURO,14.58,,,,,,,,,,
ABEV3,Put,4/19/2021,ABEVP203,EURO,20.33,,,,,,,,,,
ABEV3,Put,7/16/2021,ABEVS205,EURO,20.5,,,,,,,,,,
ABEV3,Put,12/17/2021,ABEVX222,EURO,22.25,,,,,,,,,,
ABEV3,Put,5/20/2022,ABEVQ121,EURO,12,,,,,,,,,,
ALPA4,Call,7/20/2020,ALPAG255,AMER,25.5,,,,,,,,,,
ALPA4,Put,7/20/2020,ALPAS255,EURO,25.5,,,,,,,,,,
ALSO3,Call,9/21/2020,ALSOI280,AMER,28,,,,,,,,,,
ALSO3,Put,9/21/2020,ALSOU280,EURO,28,,,,,,,,,,
ALUP11,Call,10/19/2020,ALUPJ250,AMER,25,,,,,,,,,,
ALUP11,Put,10/19/2020,ALUPV250,EURO,25,,,,,,,,,,
ARZZ3,Call,7/20/2020,ARZZG310,AMER,31,,,,,,,,,,
ARZZ3,Call,7/20/2020,ARZZG33,AMER,33,,,,,,,,,,
ARZZ3,Call,7/20/2020,ARZZG35,AMER,35,,,,,,,,,,
ARZZ3,Call,7/20/2020,ARZZG37,AMER,37,,,,,,,,,,
ARZZ3,Call,7/20/2020,ARZZG42,AMER,42,,,,,,,,,,
ARZZ3,Call,7/20/2020,ARZZG44,AMER,44,,,,,,,,,,
ARZZ3,Call,7/20/2020,ARZZG46,AMER,46,,,,,,,,,,
ARZZ3,Call,7/20/2020,ARZZG48,AMER,48,,,,,,,,,,
ARZZ3,Call,7/20/2020,ARZZG500,AMER,50,,,,,,,,,,
ARZZ3,Call,7/20/2020,ARZZG520,AMER,52,,,,,,,,,,
ARZZ3,Call,7/20/2020,ARZZG540,AMER,54,,,,,,,,,,
ARZZ3,Call,7/20/2020,ARZZG560,AMER,56,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH340,AMER,34,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH350,AMER,35,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH360,AMER,36,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH370,AMER,37,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH380,AMER,38,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH390,AMER,39,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH400,AMER,40,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH410,AMER,41,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH420,AMER,42,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH430,AMER,43,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH440,AMER,44,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH450,AMER,45,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH480,AMER,48,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH490,AMER,49,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH500,AMER,50,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH510,AMER,51,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH520,AMER,52,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH530,AMER,53,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH540,AMER,54,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH550,AMER,55,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH560,AMER,56,,,,,,,,,,
ARZZ3,Call,8/17/2020,ARZZH570,AMER,57,,,,,,,,,,
ARZZ3,Call,12/17/2021,ARZZL64,AMER,64,,,,,,,,,,
